,Gene-1,Gene-2,Gene-3,Gene-4,Gene-5,Gene-6,Gene-7,Gene-8,Gene-9,Gene-10,Gene-11,Gene-12,Gene-13,Gene-14,Gene-15,Gene-16,Gene-17,Gene-18,Gene-19,Gene-20,Gene-21,Gene-22,Gene-23,Gene-24,Gene-25,Gene-26,Gene-27,Gene-28,Gene-29,Gene-30,Gene-31,Gene-32,Gene-33,Gene-34,Gene-35,Gene-36,Gene-37,Gene-38,Gene-39,Gene-40,Gene-41,Gene-42,Gene-43,Gene-44,Gene-45,Gene-46,Gene-47,Gene-48,Gene-49,Gene-50,Gene-51,Gene-52,Gene-53,Gene-54,Gene-55,Gene-56,Gene-57,Gene-58,Gene-59,Gene-60,Gene-61,Gene-62,Gene-63,Gene-64,Gene-65,Gene-66,Gene-67,Gene-68,Gene-69,Gene-70,Gene-71,Gene-72,Gene-73,Gene-74,Gene-75,Gene-76,Gene-77,Gene-78,Gene-79,Gene-80,Gene-81,Gene-82,Gene-83,Gene-84,Gene-85,Gene-86,Gene-87,Gene-88,Gene-89,Gene-90,Gene-91,Gene-92,Gene-93,Gene-94,Gene-95,Gene-96,Gene-96,Gene-97,Gene-98,Gene-99,Gene-100
S11,1.175914299,0.78432466,-0.971970041,-1.011777032,-0.197424254,0.58382345,-1.389470059,-1.724616727,1.45150564,2.57390451,0.049839384,-1.733704923,0.687041089,-1.724223317,0.373775198,-1.814527767,-0.103097118,0.355580321,0.735456769,-1.914203666,-1.196679796,1.643278065,1.259919872,0.706259557,-0.607737256,-2.000444094,-0.030474792,1.175657689,-1.892662271,-1.798544805,-0.354880827,1.222152522,-1.41748336,0.299961228,-0.244781888,0.745598996,-0.130294695,0.723157935,1.000388454,-1.46064722,0.519439504,-0.040255095,0.021706823,0.678095799,0.477607583,0.182429161,0.990988618,1.175767072,1.324800145,1.747107146,-2.268880304,0.278443442,0.71234229,0.75956312,-1.1074745,-0.981573924,-1.382918062,1.187293903,-0.76332189,-2.521716727,-1.115428832,-1.639718654,0.993529594,0.792464026,-1.296771816,1.349011812,1.429965508,-2.421976108,1.101627503,0.535854198,-2.183604417,-0.980145458,-0.016919969,1.81087251,1.025975313,-1.258626373,-0.771328145,1.033605222,-0.911476366,-2.079017713,0.918204691,1.379395466,0.780069453,1.674155012,-0.966803583,2.635611638,0.901582073,-0.380464409,1.676143325,0.282073919,-0.322535928,1.493694888,0.251642773,1.458758631,0.590587781,-0.227736281,1.508040248,-0.073623985,0.078979108,-0.982579057,0.107490667
S12,1.196148627,0.922662674,1.106068193,-1.09927883,2.286926255,-0.818816983,-1.025130559,0.268823562,1.182309623,-1.206046916,-1.681777468,-0.943520224,1.670067705,-2.691273808,-1.410881342,0.636855472,2.131016819,-0.932894671,-0.946614809,-2.243106986,-1.379167546,-0.363278219,-0.485823589,-1.113623573,-0.994739244,-1.265103032,-0.955021666,-0.429618909,0.334836474,0.984351397,0.534240401,-1.637093386,-1.382340236,-0.777805631,-1.627286573,1.047869627,1.572796008,1.640835004,0.485104498,0.97711491,0.596317903,1.064308033,-0.033480674,0.559857147,0.404276536,-2.440095476,-0.079466463,0.705819899,-1.455085097,-1.241693566,-2.171727998,0.657206499,-2.168306448,-1.575128446,-0.488571183,-0.510527985,-0.130659612,0.879887572,-0.943094074,-0.950843576,-1.426828399,1.191191068,0.391012557,0.341133029,1.48326919,0.820295571,1.041278872,1.30923677,-1.782935758,-0.659885598,0.78383596,-1.348907735,-3.050095507,-2.465966035,0.761372864,0.17742202,-0.404035531,0.763791406,1.418192997,0.111054081,0.001631186,1.729345172,1.446819364,0.592327654,0.551752951,-1.915129717,1.010750869,0.792921361,0.770924163,-1.074880605,0.45577906,-2.407930314,2.143609748,1.948294222,-0.922456735,1.493377987,1.586156982,1.039185676,0.499513943,0.94282973,-0.276098005
S13,-0.642120249,0.838973059,1.057984507,-1.154635359,0.130541445,0.379012856,1.306576983,2.248427743,-0.19940606,-1.137922126,-0.825964906,1.251252984,-0.609083211,-0.323632976,1.252239448,2.195826589,1.983594828,-0.79231893,0.754096665,-1.118361189,-0.969531824,-1.739188747,-0.214925319,1.013086756,-1.11906381,1.78282286,-1.674575674,-1.791691243,0.004431702,-0.489185459,-0.980465348,2.072647674,1.137596108,-0.297032357,0.764811505,0.717014106,-2.290513774,-0.670572477,1.570596558,-1.3402851,0.791064099,-0.483892368,-0.945272804,1.35347933,-1.038369684,-2.495855836,-0.650543534,1.243440623,1.304395605,0.976582427,0.127333597,0.820471303,-1.413538575,0.11518448,-0.500601226,1.109034168,1.102824691,-1.400833134,-0.880811467,0.308762318,-0.632339126,1.257104008,1.259418915,-0.527130217,-1.817898144,0.287785707,-1.026823905,0.137076478,-1.207123377,-0.789096016,-0.840675725,1.444221031,-2.216125781,-1.655256801,0.216271279,2.291140824,-1.898509924,1.381688536,1.043172819,-0.618018485,-1.397925263,0.264407405,0.050549018,-2.144536377,-0.714919317,2.513001588,1.507952489,-1.472960102,-0.819759698,1.970132184,0.463889253,0.849796885,-2.044145236,1.708536218,0.150058977,1.236183004,-0.953644956,1.329593357,0.661879782,1.012201026,-0.143925189
S14,1.212430912,-1.116805039,0.94397658,0.853590462,1.859233973,0.285595496,-0.652256255,0.039457075,1.66929789,-0.985290873,0.389412648,0.250441295,-0.318732893,-1.837066925,0.4913628,-1.460525231,1.95746284,-1.159711105,1.589640803,0.143298684,-1.466083273,0.386623081,0.341272387,1.517867985,-0.828002915,0.429282418,0.976762009,-0.023408856,-1.087958729,0.955754488,-0.308361914,0.86747325,-1.428489253,-1.975786504,0.93688281,-0.50701336,-1.567498236,0.90740873,1.396691212,0.313772458,1.128895257,-0.481147711,-0.5317747,0.996971314,0.304233955,1.621952886,0.047208933,0.836640487,-0.211462242,-1.138935824,-0.452710852,-0.24843684,0.913474735,-0.874728876,1.387994104,-2.165434671,1.122298213,-0.271696306,-1.019947955,-2.687768374,-0.857615387,-1.010291699,1.436905284,0.530684837,0.451053059,0.370218296,-1.10867494,-0.428274107,-1.123606434,1.835824054,-1.1365481,1.519977047,-0.148628518,1.48474341,0.216673106,0.745920896,-1.48123536,0.640785301,-0.458640673,-0.123153022,0.773041004,-0.672965467,-1.234100592,1.130008007,-0.843964933,-1.315270994,0.790449765,-1.463447287,1.332217203,-0.745633596,-0.951428859,-0.537976714,-0.470189476,-0.647471982,1.001650155,0.546380025,0.918876084,1.841370212,-0.821816572,-1.00722889,-1.136213687
S15,0.827505396,1.05558804,1.052160062,1.039793464,0.031002788,1.303154144,1.412398547,0.106675193,-1.568522858,-0.957556464,0.777072346,-2.021206683,1.251345472,-1.950555473,1.620029694,-1.451899357,1.842085943,-2.101233712,1.61751946,-1.231062675,-1.501089799,-0.560755968,1.923968474,-0.412122813,1.634367176,0.000596374,1.236653752,1.005697139,-0.343556704,1.225794371,-0.701422361,1.57677618,-0.333039843,-0.940799164,1.993771984,0.17759721,-2.116127871,-1.451617466,-1.407821441,0.808903212,-0.38585895,0.597474919,1.263161398,1.032440913,-1.238883879,1.283365378,0.185287962,0.344222196,1.216280568,-0.757676205,-0.421741542,1.309215117,1.519823261,1.25766186,-1.036945212,0.78583458,1.740941247,-1.940112972,1.103974828,-0.806983731,0.494985043,0.766431252,-0.705311377,-2.003200248,-1.202563829,0.874775741,1.119444175,0.742720626,1.934001433,-0.248111092,1.047360489,-0.651076443,0.59728907,1.124660918,1.614668408,-0.337850419,1.01354194,-1.661472373,0.319898658,0.14614066,0.731677162,-1.279181421,-1.124664087,1.449298726,1.384914021,-1.786591305,0.727250723,0.911548646,-0.906451713,-0.917613929,-1.345829408,0.387330304,2.055015991,-0.415675129,-0.961293766,-1.13679462,-1.636414198,0.106599459,-2.653701039,-1.066343381,-0.50280806
S16,-0.873617426,1.037147238,-0.982060251,1.08824656,-1.972646486,0.605181073,0.965844488,0.13607017,0.50445314,0.863807428,-1.164453085,1.289648863,-1.374890175,2.700339017,0.838583064,-0.456898566,-2.12477502,0.024818779,-0.20968127,1.719147343,1.146216561,2.28190214,-1.71247658,-0.880489371,1.121673371,-1.761174021,-1.648681839,-0.935340962,-1.426615998,-0.950896254,-0.808625708,1.75455421,-1.232896947,2.321846996,-1.532593369,1.636268111,-0.453201794,-1.341347488,-0.960342013,1.435646967,-1.319082666,0.615257403,0.27834692,-1.264506167,2.196009206,-1.158604197,-0.617316254,-1.257069796,0.543228518,0.424203769,0.463878805,0.072703358,-1.079761381,-1.084484624,0.921940162,-2.509045733,-1.74453882,-1.080404558,-0.921444428,2.820846863,-0.302953444,-2.147840403,-1.125997701,-0.889307978,1.365343202,-1.286419063,-0.564611186,-0.252497444,0.266710841,0.559707662,0.265440959,1.814775533,-1.963189088,-1.111911931,-0.739650852,-0.660994467,1.03303864,-0.950529378,1.714461351,-0.680663654,0.330868617,0.551052687,0.774976784,1.109710747,-1.192609991,-2.434011846,1.39493029,-0.826123879,1.410392306,1.387429037,1.259466472,-0.623278911,2.487348689,1.26567879,0.141847489,1.127731908,1.19615264,1.485590486,-1.404258301,-0.745485315,-0.872730778
S17,0.902855977,-1.089311595,1.029288653,-1.086130369,-0.033048648,-1.491434571,0.47314778,2.129290748,0.26916864,-1.06525999,-0.332471956,-0.762061405,1.527541102,0.716300483,-0.012322475,1.004137868,1.910122644,1.382602048,2.039488525,-0.954116181,-1.751251104,-1.468835189,-0.044096954,-1.110013558,-0.247976159,-0.925463975,-1.282972248,-0.779170121,-0.947727696,1.469233843,1.177005102,0.65142354,-0.637541441,-0.226106538,-0.7662463,-0.857619232,0.02413651,1.629454909,1.331163609,-1.061812941,0.116611388,-1.877382815,2.551468126,1.108340654,-0.777381958,-1.988453803,-0.232599684,0.630059468,0.656682958,0.811108042,-0.715242642,0.920082743,-1.2828838,1.193354395,-0.817241975,-0.031513402,1.936878598,-1.329995681,1.084482747,0.322576416,-0.909585796,-1.715082964,-0.751904139,1.117310277,0.904500322,0.113749415,0.23853888,1.832690424,-0.966944709,0.457315533,1.100179239,0.828648929,-2.308533749,-0.189852736,-0.535448709,-0.449969892,-0.545630226,-0.953481544,-0.616944151,-0.644108162,1.593111736,-0.208409412,-0.546931967,0.300558079,0.760047858,2.218183721,-1.058457647,-1.126621698,1.415819906,1.34150529,-1.622065192,-0.762156416,-0.040081988,-1.248703961,-0.295568166,0.768309009,1.971574971,-1.363188184,-0.406764888,1.067861613,0.873161565
S18,1.149939767,0.950887258,0.855590605,1.118984201,2.081326773,-1.43172076,0.945896193,-0.134239839,0.791188884,1.216776921,-1.767914851,1.342244286,-0.490591208,0.68260107,-1.752710797,-0.564421157,1.661717426,-0.047475285,0.237041674,0.321477252,0.782563368,1.39306298,1.344081867,-0.65988582,2.116339961,-1.345879156,1.855201736,-1.134933512,-1.230737855,-1.392227602,-1.472468932,-0.676418694,-0.94604427,0.475437295,0.43777923,-0.938117006,1.833738921,0.076679518,1.402964613,-0.352941104,-1.188156898,-0.332370839,-0.76451055,0.421078873,1.913796688,0.28141772,0.783023653,1.627175143,-0.48486407,-0.295944232,-0.33600777,-1.185598188,0.489319054,0.113801844,0.586736892,-0.180862978,0.576432276,-0.427061733,0.857701516,1.770815382,0.756103149,-1.221855871,-0.749809883,-1.049222513,1.564860261,-0.849826448,-0.94574241,1.175827969,0.649958877,1.668114941,-1.031516717,-0.894772329,-0.389107611,-1.435387735,-0.480631088,-1.793315732,-1.297566168,-1.234732619,2.726284223,-0.92870738,-0.329849686,-1.438211006,1.239469594,-0.745330866,-1.127390109,-0.217580307,1.121880882,-0.371409658,-0.281579009,-0.181216516,-1.891818332,-2.17939701,-0.248861318,1.884193783,-0.279041049,-0.787332086,0.538057923,2.098705193,1.191662312,-1.053811337,-0.329977576
S19,-1.009950406,-1.033504604,-1.082633956,1.080760967,-0.035684109,-0.607652678,1.089518442,0.044327559,-1.420711007,-0.939976327,1.738695803,2.058477341,1.036214907,2.03403321,-0.278165637,1.89083001,-0.253444754,1.578459348,-0.174356282,0.089663746,0.65420212,-0.939670565,0.863051425,-1.560990136,1.481002519,-0.169538857,1.599015698,2.136604682,1.68711943,0.265801496,0.230045395,0.030452895,2.079716423,-1.563961131,2.390942718,-1.178831944,1.566707028,-1.11964038,1.918495516,-0.320179569,1.570343176,-1.193508315,1.21519423,0.387057208,2.204720369,1.750092476,0.665059511,-0.763977781,-0.271309748,-0.524170481,-0.469610148,-0.93831451,-1.524953703,0.677908374,0.214593766,0.595247853,-1.335651926,0.820887059,1.080671544,0.200796372,-1.007237612,-2.180285682,-1.314146701,-1.392065421,-0.681763866,0.295199939,-1.562985405,-0.534632471,-0.685137332,-0.664338751,1.136288552,0.39995581,-2.508250779,-1.356190874,-1.710038937,0.663776289,1.095888551,1.491833668,-0.396059908,0.598211744,-0.075396192,-1.764003452,0.444904253,-1.591565715,0.942711414,1.479628415,1.068235068,1.694625706,-1.832831603,-1.435372698,-0.832417592,-0.190960971,-2.19586336,-1.36458412,1.362689689,-1.519212999,0.348236523,-0.146373633,-1.433540563,-0.914577549,-0.087637571
S20,-0.804749778,-1.045710717,0.969684464,1.0731108,0.224937655,1.38037626,-0.176927371,2.194985072,1.452227578,-3.200010518,1.061975142,0.79233863,-0.919471143,-0.690410391,-0.980391862,0.807165561,1.936829808,-0.520692794,1.326012851,-0.753509215,0.057053188,-2.009953218,1.427971518,1.397346218,1.262225053,-0.961731739,-1.155600587,0.009681242,-0.534024305,1.571932584,-0.928049197,-0.672106683,-0.99526584,-2.245828609,2.027874612,-0.71312151,-0.616816434,-1.561303705,0.168567063,-0.912699579,-0.768399044,0.147857361,1.449368645,1.783709595,-0.876282373,0.128317205,-0.327466628,1.213796588,-1.244496299,0.255383335,-0.926191683,-0.431874187,0.087690112,-1.461561989,1.728931934,0.514744195,0.91624668,-0.588299794,-0.874463608,-1.325856969,-0.813596541,-0.735420023,1.041536072,-1.260173258,-0.955990015,0.510329294,-2.178318509,0.733079729,-0.17237672,-0.58633817,0.808703672,-1.400788507,-0.818170832,1.206517468,2.062337897,0.83840881,0.168508828,0.839114324,-2.090392657,1.573761033,1.040366797,-1.92710255,1.230456863,-0.128488651,-1.263928521,0.094507413,0.821480623,-0.456534949,-1.229579978,0.000496803,0.564897746,-1.569494846,-1.785454281,-0.86476533,0.818328023,-1.504642161,-1.975636093,0.041708042,0.242018014,-0.963483542,-1.372491609
S21,1.035206616,-0.642852188,1.040272581,-1.049783796,0.006809315,-1.509717608,-1.612216326,0.187085449,1.699680993,-1.249133301,0.286492575,1.416736554,-0.663777952,1.673287088,0.612926786,-0.821674765,-0.071799078,1.694851278,-0.474173388,-1.28286784,-0.944843051,1.579470855,1.50588335,1.363140503,1.722163134,-0.097957335,1.155375621,-1.700748647,-0.958488967,1.190416659,0.594665826,-1.844933179,1.236623275,-0.239328396,-0.635623321,-0.906447268,1.407406911,1.16670154,-0.044111522,-0.231684316,0.654668688,2.244836708,0.426015079,-1.218601912,-0.797621805,1.096513105,2.253114834,-1.171597627,-0.059341425,0.845587253,-2.026741749,-1.317827817,0.527543656,1.145400917,1.063327433,0.082994479,0.387260219,-0.630901046,1.117216387,-0.800089398,-1.503063576,1.110307743,-1.575634661,1.249525947,1.390522901,-0.217306996,-1.45514194,0.015382881,0.273880815,-0.889179219,-1.511126459,1.231141574,-0.410975722,-0.923401644,1.389994263,-0.266720209,-0.772063075,-1.247553001,0.31897541,0.634533315,-1.214573217,0.406338026,-1.949320346,1.629797902,-0.658119461,1.361106103,1.377341558,-0.453627822,1.219032846,1.323121236,-1.20309124,1.155000043,1.09811959,-1.277865498,1.751045961,-1.382193317,-1.274260081,1.816809392,0.412227296,-1.054632711,0.390391569
S22,1.054076922,1.080201673,1.094828527,-1.015894729,0.001207224,-1.644157293,-1.634877647,0.183660178,-0.286740621,-1.143754107,0.591706786,-0.351926427,-0.957401555,-1.268537434,0.771062221,-1.435150866,1.874880976,0.42690623,0.790677198,0.589319799,0.76584898,0.075108627,1.852311747,1.39547971,-0.411359174,1.441981316,1.225435071,-2.041583758,1.563136466,0.320911744,-0.34039986,0.334464149,-1.468887059,-0.529276271,-0.612807246,-0.586199948,0.182896925,-0.536520452,1.195114722,1.316761088,1.087132458,0.179787626,0.09095443,-1.412177355,-1.817068056,-0.009780048,2.272092726,0.983015043,-0.137097304,-1.394558081,-0.287898005,0.484248753,1.355256022,-1.203155678,1.578782885,2.628134017,0.431177744,-1.109959568,-0.752048265,0.933800359,-1.475476952,-0.471265228,-1.03394504,1.07567427,-0.67611721,0.530879494,-0.810613451,-0.954487927,0.224105124,1.583132136,0.546620482,-1.079811433,0.355383771,-0.33090938,-0.83282008,0.768007128,-0.962597359,0.866091533,-0.563476136,0.502173937,-1.066265923,0.761432368,-1.244510749,0.191591285,1.758146041,-0.29219952,0.631045464,-2.50826593,-1.475424437,1.29626186,-1.406809927,2.106921003,0.906967112,0.621427328,0.82669772,1.830871274,1.297844933,0.280438079,-0.658168839,0.802098947,-1.120697287
S23,-0.85764522,1.025953848,1.010920109,-1.147120576,1.974705416,-0.554433578,1.316284675,0.081513195,-0.646394026,-1.009819196,0.802288946,-0.274964685,1.770874943,-0.064536489,1.042194979,1.799066985,-0.105848146,1.109689937,1.454359018,0.814973959,-1.063696191,0.756094541,0.819006118,-0.936940344,-0.961597311,1.201692207,1.391438371,-0.709054175,1.401205042,0.12291886,-0.686086649,0.653319878,1.832302514,-0.511567407,-0.914109352,0.668356773,-1.540517276,-0.680546556,0.532567646,-1.166748013,1.18332069,1.146029256,1.358215768,0.993142219,-0.823628812,0.167683141,2.409268144,0.722605121,-0.812437114,1.277515795,-0.195802529,-1.996300663,-1.122145362,-2.522489042,0.498201385,0.354624067,-0.711816153,-1.486943468,-1.023923603,0.413127353,-1.318942894,-0.945076876,0.258039503,-0.857420143,-1.20952259,-0.883531407,-1.685333108,1.248278483,-0.254013144,1.176472939,-1.593625953,-0.552121631,0.072359436,-2.050019016,0.557925947,0.694958295,-1.1963779,0.631411785,0.814314534,0.449382249,0.972688414,-1.745487895,-0.618226291,-1.397212447,-0.351119007,1.968215737,-0.868709675,-0.05865563,-2.094406969,1.952639696,0.561632973,-0.128852176,0.284578524,1.696578259,-1.991958256,0.902544238,-1.420471724,-1.05840839,-0.37722844,1.012573171,0.051948555
S24,1.082899055,0.968709009,1.076777628,0.874293894,0.236387522,-0.776928155,-1.239336462,2.211571306,-0.014830166,-3.145358277,0.928303319,1.072438662,0.882941744,-0.631488398,-0.443248774,0.850923694,2.046929063,1.353102571,-0.424264013,-1.042540781,-0.174508806,-2.394571351,1.60862504,0.804651272,-0.561199429,1.04648733,0.991353541,-1.222599709,0.156098003,-0.846095228,0.547256953,-2.005305002,1.158405845,-0.086211332,-0.267269287,1.299527784,1.068507647,1.803090842,1.416449512,-0.832210627,-1.127967591,-0.724283405,1.295289156,-0.947199259,-1.257652063,1.146892608,-0.01417391,-1.57481301,-2.140908475,-0.175449141,-0.948465025,-0.381117663,1.286397348,0.672774268,0.790956872,1.036386241,1.725291218,0.352218061,-0.922006601,-1.49196641,1.328205697,1.684454846,0.567488402,-0.831372638,0.701099171,0.196609835,-2.242071167,0.745370791,1.476289322,1.863932095,-0.790887752,1.126225028,2.493349055,1.400983305,1.417484909,-0.734290705,-0.130322151,-1.835922181,1.151102625,-0.014695465,-0.718541489,-1.111307614,-1.086692136,0.318820578,-0.595850116,1.907943274,-1.029847426,-1.756584648,-0.091230271,-0.518759523,0.119717394,-1.750003314,0.736376136,-0.839757103,0.754827992,2.018539782,1.379298437,1.059179848,-0.444073347,-0.82505084,-0.153791971
S25,1.033529644,-1.090652997,-1.085824119,-0.981001634,-0.051908667,0.532932864,0.556085199,0.053405033,-1.846558958,-1.007252345,1.86018391,-1.745090353,-0.443589511,0.247135616,1.665921331,0.7205015,-2.190083372,0.696564521,-0.649576878,-0.41553108,1.399887023,-1.133570362,1.419543683,-1.932370934,0.995651143,1.13926881,-0.576549825,1.697582997,-0.338107085,-1.223732136,-1.706572516,1.984909072,1.549935378,1.258908518,0.324382126,-1.638625536,-1.852563714,-0.64721308,-0.312294148,-1.047917634,1.163307101,-1.78307286,0.230593908,-1.739469143,-0.952294049,-1.559845906,-1.328037286,0.841990405,1.326264654,0.536546608,0.317602368,-0.458800828,1.093238526,-1.379401791,1.436537231,0.466338635,-1.076701031,1.050541218,1.064997778,1.958581132,1.195133317,0.907226305,0.799470226,0.799780419,-1.567991158,0.96382444,0.598104708,1.862439093,-0.270291303,-1.180547153,1.346549979,0.857526328,0.136247123,-0.816482709,-0.671442474,2.501934526,-0.972005465,1.251642142,-0.630694528,-1.802231427,1.021773626,1.71880525,2.303468013,-1.041424399,0.906666228,0.102973238,-1.040972654,2.257300134,-0.639689571,-0.374084587,-1.288202355,-0.809798385,-1.604763324,-0.384487561,-0.589571549,-1.266069209,1.557325463,0.078718538,-1.118844958,0.90093437,-0.752839704
S26,-0.904086315,1.1230688,-0.927824978,0.859502656,0.138604164,-0.706774054,1.033094694,-1.9015867,0.263750854,2.971220521,0.311319995,2.083985785,0.310495869,-0.023691171,0.454491453,1.949373729,-0.05287869,-0.932276474,0.560830708,1.025367775,1.005199823,1.932889569,-1.199901304,-1.742692194,-1.314950931,1.048293441,1.708315649,1.699250762,0.686779313,-0.895210638,1.102940727,-1.694827523,1.535142925,0.115263004,-0.092044284,-0.76887771,-1.907549673,0.941559527,0.807003067,0.491011119,0.84922447,1.683954459,-1.233887415,-0.198727507,-1.165714255,0.388606847,0.827293373,-0.3069731,-0.95613083,1.377090125,1.997290999,-0.711621289,-0.66195301,-0.004824854,-1.634550367,-0.295748255,0.404708929,1.348732935,1.05129915,-0.578740725,-1.23371369,-0.023716812,1.558359433,-1.651864841,-0.925478317,1.484313967,1.584591416,1.238084295,1.413843428,-0.661002841,-0.723059098,-1.40311322,0.375156748,0.458658456,1.1127628,-2.353404738,1.243436658,-1.243258507,0.33368607,0.76024292,-0.212987896,-1.722176324,0.756548185,-0.642743022,-0.61980006,-1.329500857,-1.373684343,1.339048163,1.990594003,-1.939823248,0.403776064,-0.203728885,-0.692416927,-0.810981148,-0.595133726,0.933832491,-1.138974537,-1.179681132,-1.438940836,1.078305276,0.440411501
S27,1.241671457,1.005982723,-0.840341356,-1.05601523,0.265881903,0.347473395,-1.404899081,0.325060659,1.478251083,-1.168575781,-1.200786867,-1.662592738,0.839528113,0.184853575,-1.310463142,0.246677597,-2.005318424,-0.293659582,-1.515870444,0.702315259,-0.884008986,-0.31802497,-1.726718877,0.158151574,-1.70217876,-0.72478265,-1.412230389,1.826243068,-0.079068528,0.851521296,-1.436966215,1.125126281,0.15446098,-0.873650511,-1.917393342,-1.636446076,-0.411855955,0.949667342,-1.832262609,-0.971005684,-1.072548778,-0.867754478,1.008537497,-0.407098854,-0.954520232,0.52217133,-2.404031405,-0.875742004,0.683041013,-0.08427318,0.017279541,-0.871123096,0.660620571,-1.580971638,0.998636817,0.948261052,1.735110195,1.659005017,-0.872391927,-1.403166773,1.584146548,0.94784712,-1.065519658,0.781888116,-1.438384087,-1.38229762,0.417213637,0.443014414,0.086860708,-1.612915615,-0.657009172,-1.658272328,-0.311522521,1.652379713,-0.676411877,1.32774966,0.757741259,1.211631119,-1.210376955,0.618616958,-0.961177285,0.55598761,-0.828583822,-1.503080803,0.247923163,0.194854555,-1.205922341,2.731974777,0.432848371,-0.133493058,1.531033404,-1.12800196,-2.088782071,0.380425078,-1.748101012,0.2304641,-0.252475109,-0.142785829,1.472831883,1.085056038,-0.627936203
S28,1.072507137,-1.169265587,-0.916050255,0.994206486,-1.654239469,2.406595248,1.063205816,0.26165536,-1.325465064,-1.042575725,1.809160472,-0.813505231,0.845092773,-0.474475605,0.234940518,-1.328906597,-1.720060421,0.570822348,-0.153293791,-0.320565033,-1.227640018,-1.111779214,-0.983736056,-1.125539942,-1.131806589,0.955196451,-1.398728276,-0.151135974,-0.565992168,1.194672411,-0.682348186,2.347525812,0.2954674,-2.013120005,-0.133106279,-0.959303586,-1.345353775,-2.46883591,-0.84045959,0.147856666,1.823238563,-2.186162498,0.193257179,-1.556641042,1.433057734,0.109518151,-2.398474706,0.968679665,0.582582846,0.650096784,-2.195516491,1.21413639,0.33627257,1.208877671,-0.728525043,-1.585082762,-0.329701294,0.596875007,-1.050670401,-1.938809644,2.301623961,0.24558115,1.099589622,1.175205592,-1.704548462,0.858830199,-1.185788069,-1.738859317,0.506936224,0.380900668,-0.326274701,0.580571931,-0.643827491,-0.697146321,-0.984406481,1.730226647,-1.42365001,0.812652825,0.254341948,-0.131348882,-0.781161367,-0.917607434,1.87860272,-1.490117527,-1.526616284,0.880194733,0.724601676,1.418568374,-2.363452061,-0.981302788,1.746497596,2.826056282,-1.643710332,1.241560109,0.752955262,-1.202155581,1.68356079,1.011714097,1.556076156,-1.092365005,-0.251229516
S29,-0.847502841,0.928153365,-0.800594554,0.928179049,0.254885878,-0.812353078,0.970944798,0.229457793,0.720814033,-1.176236825,0.887961129,1.590162657,0.759890626,-0.171131374,0.77982062,1.676660577,0.080328092,-0.828148642,-1.074878168,-0.801056126,0.828360173,-1.269864299,-1.090375114,0.515805778,0.326043238,0.721095504,-1.337637346,1.693333985,1.047898768,1.338723659,0.174932594,-0.61721595,1.438948096,1.005099714,1.006850225,1.131828243,-1.811694846,1.798275065,1.355498214,-0.70438419,-1.209320112,-0.221660721,1.618058924,-0.3369857,0.824881173,-2.095247688,-0.224949574,0.472193641,2.251923144,-0.564712907,-0.192073883,0.54208696,-2.019923611,0.232954002,-1.259146296,0.038515506,-1.007628844,-1.221999137,1.085614189,-0.723799855,0.948326654,-0.662343225,-1.766547982,0.585640082,-1.459210874,0.413775911,1.078404036,-0.49401018,1.154460453,-2.048273283,1.414461635,-1.426156023,-2.778985594,0.835944966,1.023552236,1.407909296,2.139561317,2.097752955,-0.578769993,-0.806023476,-0.998861611,-0.996260771,2.088266911,-1.379376199,0.8562373,1.854187401,-1.656351691,0.597321625,-1.622842676,0.952220528,-1.294007359,1.604129052,-0.281218675,1.466480801,-1.189015766,-0.817189386,-1.348711037,-1.111146817,0.265445532,0.977425789,0.493373471
S30,-0.900611558,-1.003436955,-0.970263532,-1.089231002,-1.906255886,-0.547277446,-1.738356664,-2.018783556,1.693353789,3.220722773,-0.070202203,1.820296656,0.46338505,2.891960713,-1.177072542,-0.533179142,0.022568765,1.649320953,1.020241758,-0.864977011,0.882062361,1.143533125,0.858697603,0.918812789,0.028249314,0.169531302,2.100866337,-1.024463564,0.667880449,-1.329289756,-0.396097231,-2.273780294,-1.109176424,-0.448622162,-0.277604263,1.832920229,1.881680149,-1.662482819,-0.497631502,0.054157858,-0.761873498,2.588163362,0.36054405,1.342076588,1.573357457,-0.054772896,1.175162138,1.808849735,1.268120024,-1.423052517,1.989035793,-0.03402203,-0.76054686,0.860912043,-1.719985848,1.680844496,-1.630613738,-1.468259616,-1.065378067,2.874196928,-1.140844065,-0.174533989,0.913160124,-0.527350717,-0.333045754,-0.615147607,0.632782753,-0.338965915,0.887032979,-2.207986685,-1.244426435,0.469233829,0.004126892,1.152454208,-0.427927447,-2.500349363,1.413194232,-0.259531875,-1.895474847,1.212002888,-0.837464172,-2.052922297,0.988962236,-0.882447869,-0.521678439,-0.920969996,0.975340318,-0.393840559,0.337830556,1.692996622,0.770743419,1.493326962,0.267473541,-2.085577979,0.235525278,0.262273688,-1.873721358,2.029002107,1.797903454,1.011309273,-0.164865986
